Date,Close, Volume, Open, High, Low
6/7/2016,153.33,4462506,153.31,153.93,152.66
6/6/2016,152.73,2374643,153.09,153.95,152.34
6/3/2016,152.89,2328054,152.4,153.04,151.7
6/2/2016,153.5,2642401,152.59,153.5,152.12
6/1/2016,152.51,2659517,153,153.27,151.54
5/31/2016,153.74,5836207,152.56,153.81,152.27
5/27/2016,152.84,2457037,152.35,152.93,152.15
5/26/2016,152.44,3060248,151.55,152.51,151.05
5/25/2016,151.69,4355296,148.93,152.09,148.5001
5/24/2016,148.31,2921065,146.88,148.75,146.88
5/23/2016,146.77,2103633,147.61,147.95,146.66
5/20/2016,147.25,3578195,145.71,147.51,145.55
5/19/2016,144.93,3678430,146.48,146.93,143.955
5/18/2016,147.34,2488491,147.99,148.52,146.36
5/17/2016,148,3490024,149.21,149.5,147.29
5/16/2016,149.46,3062237,147.65,149.99,147.44
5/13/2016,147.72,2394248,148.79,149.86,147.42
5/12/2016,148.84,3249032,149.21,149.39,147.11
5/11/2016,148.95,3088984,149.71,151.09,148.74
5/10/2016,149.97,3992259,148.24,150.04,147.74
5/9/2016,147.34,4301025,147.7,148.2,147.01
5/6/2016,147.29,4893580,144.86,147.97,144.47
5/5/2016,146.47,6500438,145.95,147.3,145.45
5/4/2016,144.25,2576763,143.36,145,143.31
5/3/2016,144.13,3584261,144.65,144.9,142.9
5/2/2016,145.27,3502422,146.56,147,144.43
4/29/2016,145.94,4223936,146.49,147.34,144.191
4/28/2016,147.07,3791053,149.75,150.18,146.725
4/27/2016,150.47,3110399,149.35,150.78,148.97
4/26/2016,149.08,2978954,148.65,149.79,147.9
4/25/2016,148.81,2846737,148.16,148.9,147.11
4/22/2016,148.5,5191602,149.44,151,147.5
4/21/2016,149.3,6014381,146.58,150.12,146.46
4/20/2016,146.11,6749461,144.24,147.2,144
4/19/2016,144,13187000,146.47,146.95,142.61
4/18/2016,152.53,6309128,151.75,153.14,151.49
4/15/2016,151.72,3657048,151.04,152.1,150.96
4/14/2016,151.16,3176285,151.5,152.76,150.38
4/13/2016,151.23,3167729,150.75,151.23,149.63
4/12/2016,149.63,3592828,149.61,150.11,148.58
4/11/2016,149.25,3844766,150.26,151.95,149.22
4/8/2016,149.35,3293512,149.06,149.99,148.12
4/7/2016,148.25,3662508,149.07,149.6,148
4/6/2016,150.02,4194265,149.9,150.15,147.81
4/5/2016,150,3336922,151.43,151.6,149.65
4/4/2016,152.07,3904536,152.34,153.52,151.91
4/1/2016,152.52,3921036,150.51,152.96,150.25
3/31/2016,151.45,6778508,149.79,153.1,149.36
3/30/2016,148.41,3329639,149.95,150.41,148.32
3/29/2016,149.33,3138438,147.59,149.76,147.5
3/28/2016,148.4,3264984,147.75,148.65,147.23
3/24/2016,147.95,5043602,144.98,148.22,144.49
3/23/2016,145.4,4763922,148,148.03,145.13
3/22/2016,148.1,4079715,148.06,149.28,147.84
3/21/2016,148.63,3721458,147.3,148.71,146.7201
3/18/2016,147.09,12088090,147.4,147.51,145.51
3/17/2016,147.04,5821136,144.78,147.32,144.45
3/16/2016,144.79,4221031,142.62,144.88,142.11
3/15/2016,142.96,3687331,141.74,143.33,141.54
3/14/2016,142.78,4047564,142.01,143.19,141.04
3/11/2016,142.36,4418790,141.73,142.9236,140.51
3/10/2016,140.19,4019924,141.24,141.47,138.09
3/9/2016,140.41,4402656,139.31,142.17,139.23
3/8/2016,139.07,5575635,139.71,140.35,137.42
3/7/2016,140.15,5165269,137.28,140.51,136.8718
3/4/2016,137.8,3968423,137.535,139.42,137.02
3/3/2016,137.8,5150065,137.22,137.9602,136.07
3/2/2016,136.3,5214679,133.7,137.44,133.22
3/1/2016,134.37,3786753,132.24,134.64,132.03
2/29/2016,131.03,4427070,132,133.36,130.9
2/26/2016,132.03,4385699,134.51,134.92,131.95
2/25/2016,134.5,4355009,133.29,134.51,130.88
2/24/2016,132.8,4119457,131.55,133.49,129.68
2/23/2016,132.4,3437358,133.14,133.41,132.01
2/22/2016,133.77,4456242,133.84,134.31,132.41
2/19/2016,133.08,5122341,132.36,133.65,130.84
2/18/2016,132.45,9948776,130,134,129.75
2/17/2016,126.1,4820819,123.71,126.57,123.25
2/16/2016,122.74,4061016,121.83,123.09,121.34
2/12/2016,121.04,4935186,119.26,121.05,118.35
2/11/2016,117.85,7304306,118.78,119.66,116.901
2/10/2016,120.19,6456270,125,125.29,119.84
2/9/2016,124.07,5956116,126.12,126.93,123.77
2/8/2016,126.98,7363878,126,127.51,124.13
2/5/2016,128.57,7176748,127.22,128.64,125.85
2/4/2016,127.65,5263233,125.08,128.5,125
2/3/2016,124.72,6223424,123.99,125.4499,122.29
2/2/2016,122.94,3287216,123.67,124.14,122.64
2/1/2016,124.83,3571590,124.4,125.29,123.71
1/29/2016,124.79,8246145,123.28,124.79,122.96
